x(m) y(m) z(m)
10 10 0
11.8009 17.9728 0
6.233 10.021 0
9.5479 16.5662 0
7.0961 8.9985 0
2.3727 9.2779 0
14.115 3.5159 0
17.6358 16.3787 0
5.3975 11.9523 0
4.9856 7.9357 0
17.2013 9.9182 0
18.3844 9.998 0
17.7746 15.9716 0
4.9106 1.9305 0
6.2879 5.4791 0
4.0735 4.5146 0
13.3014 2.3229 0
6.7119 18.1404 0
1.54 12.8496 0
30 10 0
21.2671 13.3758 0
22.8318 8.002 0
28.2349 13.6172 0
25.2465 7.8295 0
27.4674 18.1642 0
27.3356 6.9023 0
36.0783 13.7052 0
27.3658 7.065 0
29.5316 19.7649 0
30.6465 17.7286 0
28.2613 17.5241 0
50 10 0
59.3557 7.4323 0
53.3845 8.6909 0
55.3667 11.0315 0
51.1004 0.7648 0
48.3871 3.0808 0
55.523 12.1727 0
45.799 17.603 0
43.4218 11.4786 0
45.431 9.8433 0
57.8917 4.2727 0
43.3635 3.9695 0
45.6007 8.7668 0
70 10 0
65.0468 15.3161 0
79.8488 8.8092 0
72.2733 0.9942 0
78.3462 10.3415 0
67.5999 2.2975 0
75.2138 12.6507 0
72.0539 8.8993 0
67.9216 10.636 0
10 30 0
17.9721 25.7845 0
6.7504 22.2108 0
4.8356 24.0352 0
11.8978 37.479 0
18.1793 30.457 0
17.009 26.6286 0
2.2421 30.1217 0
17.0173 37.0449 0
17.6345 26.125 0
7.8479 39.6478 0
18.9145 34.09 0
4.1925 37.826 0
10.0499 24.4506 0
3.3644 31.2869 0
17.8192 24.3678 0
30 30 0
36.7255 31.389 0
34.3508 26.3996 0
26.7421 22.3121 0
35.8203 32.3784 0
36.1821 22.2224 0
35.2786 35.3213 0
29.071 22.5712 0
23.7466 34.3141 0
23.8713 27.2334 0
32.7805 34.6281 0
24.8081 24.9278 0
