x(m) y(m)
10 10
12.6131 15.9839
12.802 3.1328
4.6574 2.9276
1.8623 8.4023
17.8061 6.7927
11.4681 14.5419
19.1737 8.5545
14.5789 16.3987
15.3656 6.5111
16.394 12.3402
9.2076 5.9473
6.9181 10.4683
30 10
35.323 8.06
35.2403 17.6625
23.1629 2.7551
30.8787 16.6209
26.6514 13.0814
35.3746 15.5259
34.8049 1.7108
35.5049 17.6932
50 10
40.2389 8.457
54.037 15.9787
58.3531 11.7285
54.8069 7.9436
54.1818 18.8795
49.4126 3.802
49.1141 0.9097
43.2659 7.6565
46.0222 18.839
42.4914 3.7883
40.4945 11.8708
51.0778 17.822
40.5509 10.6707
51.3054 17.7095
43.0843 4.6558
43.0192 12.6128
55.8462 3.4713
58.2884 12.7474
53.0983 15.5341
70 10
67.1199 6.6369
61.8859 14.2222
71.5599 8.5843
66.4361 14.3627
74.6012 9.4659
62.2534 9.9029
73.5925 15.3487
64.9197 5.6393
71.5735 19.6297
78.9631 13.1067
77.0139 7.7404
69.8883 15.3911
66.8326 3.049
73.9187 6.8124
71.9897 11.5033
61.9073 9.7827
76.0545 11.9759
72.3812 15.2924
73.551 6.6689
10 30
11.5812 21.6912
3.7633 23.5703
5.6323 35.1479
8.795 23.3011
15.2524 24.6949
8.0783 22.4056
8.3561 29.0569
2.8814 27.1112
13.9608 35.5211
6.9006 25.8548
17.6176 28.4433
16.7269 34.3651
14.9987 32.5689
15.5229 23.703
18.6083 25.7363
12.6022 26.1439
30 30
37.7305 32.3629
34.0063 31.8097
31.0384 35.2699
22.2953 34.5602
36.5326 30.3102
34.2823 34.3909
30.2362 39.7768
29.529 25.8941
